class,text
Positive,"At first, i thought this top was going to be stiff. i am pleasantly surprised by how soft and flowy this blouse is. it's lovely cream color with beautiful lace details. i appreciate the lining inside the bodice which means i can potentially go bra-less when it's hot! i'm 5'2'', 135lb and retailer size s usually gives me plenty of room because i have a small upper body. but i feel this top is slight short on me. that might be because i didn't wear it off-the-shoulder but had it hang from the top of"
Positive,"I love this and instantly felt sexier when i put it on, yet with the longer sleeves and looseness felt i could wear it casually. 

i will say that i have to often keep adjusting/pulling the top neckline down. it seems to want to revert to above-the-shoulders position. 

the fabric and quality feels nice and it was a great purchase for me!"
Negative,"The problem with off the shoulder tops is that the neckline is totally elastisized , therefore upon any movement of your arms the top pops above your shoulders making it go from stylish to matronly . the only elastic should be right at the shoulders , the rest of the neckline should be a simple finished hem. ."
Positive,"/my friend and i both tried on this shirt just to see how it fit and because it was blue. we were surprised how pretty it si on. a little see-through though, but hte cut hits in the right places (i guess we are not too endowed). she ended up buying it so i passed but very feminie work piece."
Positive,"Love this button down, but i couldn't make it work. i'm 5'4"", 32b, and usually buy tops in a regular xs or s. i bought this top in a small and it was loose fitting which i liked, but too long for me causing the pleats to flare out more than i liked. the shirt is also pretty sheer, wear a skin colored bra unless you want it noticed. the material was soft and looked like good quality."
Positive,Unexpected delight! great top that can be dressed up or down. the only con is a little small through the bust.
Positive,"Love this shirt, very flattering fit on my pear shape. also accommodates my larger 32dd bust without straining on the buttons. ever so slightly sheer fabric, but no cami needed if wearing a nude bra."
Positive,I have been wanting to incorporate button down blouses into my wardrobe for months but hadn't found any that caught my eye. leave it to retailer to supply the best alternative to a classic look. i love everything from the bottom flare to the way it cinches my waist. i would say this is perfectly appropriate for a business setting while still giving you individual style.
Positive,"I bought the grey and white plaid shirt in a large. i'm 165, 36d and the top closes without gaping - even when i push my shoulders back. it's kind of sheer, so will wear a cami underneath. the waist nips in right where it should - giving a trim silhouette. adorable and fun top, without being cutesy. love tylho tops!"
Positive,"Based on previous reviews i ordered this shirt in both a small and medium. i have fairly broad shoulders, and thought i might not fit my usual small (if it helps for reference, i am 5'6"", 123 lbs, and wear a 32c bra). i first tried on the small and didn't even bother opening the medium. i have a hard time finding blouses that fit in the torso without pulling at the bust (i think this is more related to my wide shoulders as opposed to actual bra size). with this blouse the buttons don't pull at a"
Positive,"This top is adorable, especially the grey check. timeless staple, with a modern & cute update. i agree with 2nd reviewer; i don't think this blouse pulls or is tight in the chest. i'm also a 34d, i got a small, it fits perfectly & i wear it all the time - i think it's great for every season. very flattering, the peplum hits at just the right spot and defines the waist. i get compliments all the time. i pair it with cropped sweaters when it's cold. the grey does seem a bit higher quality; the blu"
